,ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
1224,,MSFT,1993-06-28,1.7533,1.8001,1.7455,1.8001,52224000.0,1.8001
1225,,MSFT,1992-12-29,1.7488,1.7566,1.7175,1.7254,60035200.0,1.7254
1226,,MSFT,1992-10-27,1.8178,1.8256,1.7396,1.7553,49116800.0,1.7553
1227,,MSFT,1992-07-31,1.4745,1.4745,1.4355,1.4511,35312000.0,1.4511
1228,,MSFT,1992-03-04,1.6446,1.6654,1.6133,1.6289,33084800.0,1.6289
1229,,MSFT,1992-01-07,1.5228,1.6009,1.5072,1.5957,64361600.0,1.5957
1230,,MSFT,1991-09-13,1.1558,1.161,1.0933,1.1037,51360000.0,1.1037
1231,,MSFT,1991-08-16,1.0662,1.1001,1.0558,1.0871,52073600.0,1.0871
1232,,MSFT,1991-01-08,0.6689,0.6759,0.6446,0.6516,76438400.0,0.6516
1233,,MSFT,1990-08-10,0.5805,0.5892,0.5475,0.5718,73184000.0,0.5718
1234,,MSFT,1990-08-09,0.5617,0.586,0.5513,0.5773,77052800.0,0.5773
1235,,MSFT,1990-02-06,0.4167,0.4184,0.4045,0.4167,81964800.0,0.4167
1236,,MSFT,1989-11-29,0.3929,0.3963,0.3703,0.379,85894400.0,0.379
1237,,MSFT,1989-10-04,0.2895,0.3364,0.286,0.3347,260019200.0,0.3347
1238,,MSFT,1989-09-01,0.2593,0.268,0.2576,0.2654,44409600.0,0.2654
1239,,MSFT,1989-06-26,0.2462,0.2479,0.2392,0.2427,30240000.0,0.2427
1240,,MSFT,1989-06-08,0.2648,0.2683,0.2631,0.2648,29216000.0,0.2648
1241,,MSFT,1989-05-04,0.2449,0.2449,0.231,0.2327,37424000.0,0.2327
1242,,MSFT,1988-07-22,0.2668,0.2789,0.265,0.2737,68816000.0,0.2737
1243,,MSFT,1988-05-06,0.2503,0.259,0.2503,0.2538,43977600.0,0.2538
1244,,MSFT,1987-11-09,0.2066,0.2118,0.1979,0.2083,86585600.0,0.2083
1245,,MSFT,1987-10-19,0.3134,0.3273,0.1988,0.2006,146880000.0,0.2006
1246,,MSFT,1987-07-30,0.2228,0.2228,0.2115,0.215,55555200.0,0.215
1247,,MSFT,1987-05-05,0.227,0.2565,0.227,0.2565,110995200.0,0.2565
1248,,MSFT,1987-04-16,0.2096,0.2252,0.2088,0.2183,188092800.0,0.2183
1249,,MSFT,1987-03-11,0.1895,0.1912,0.186,0.1895,43862400.0,0.1895
1250,,MSFT,1987-03-06,0.1854,0.1871,0.1776,0.1845,63561600.0,0.1845
1251,,MSFT,1986-12-23,0.108,0.1097,0.108,0.1097,23788800.0,0.1097
1252,,MSFT,1986-12-11,0.1073,0.1095,0.1069,0.1086,11635200.0,0.1086
1253,,MSFT,1986-04-01,0.0613,0.0613,0.0604,0.0604,11088000.0,0.0604
1254,,MSFT,2017-08-31,70.7561,71.6861,70.5261,71.4961,27652800.0,71.4961
1255,,MSFT,2020-08-24,214.789993,215.520004,212.429993,213.690002,25460100.0,213.690002
1256,,MSFT,2020-08-04,213.6557,214.2557,209.7957,212.7757,49280100.0,212.7757
1257,,MSFT,2020-06-05,182.1686,187.2786,181.5586,186.7486,39893600.0,186.7486
1258,,MSFT,2020-06-02,183.8041,184.5541,180.9041,184.4641,30794600.0,184.4641
1259,,MSFT,2020-05-01,174.8954,177.7354,173.1054,173.6654,39370500.0,173.6654
1260,,MSFT,2020-02-26,168.8282,172.3781,167.3282,169.2881,56206100.0,169.2881
1261,,MSFT,2020-01-22,166.0923,166.1823,164.3723,164.3923,24138800.0,164.3923
1262,,MSFT,2019-10-25,137.7559,139.5559,137.6159,139.1459,25959700.0,139.1459
1263,,MSFT,2019-10-15,138.4664,140.1964,138.2164,139.9764,19695700.0,139.9764
1264,,MSFT,2019-09-27,138.5996,138.8096,135.0996,136.1796,22477700.0,136.1796
1265,,MSFT,2019-08-13,134.035,136.785,132.985,136.5851,25154600.0,136.5851
1266,,MSFT,2019-05-15,122.4279,124.8779,121.8679,124.1879,24722700.0,124.1879
1267,,MSFT,2019-04-08,117.6306,117.8406,116.4606,117.7506,15116200.0,117.7506
1268,,MSFT,2019-02-01,101.4831,101.8031,100.0531,100.4831,35535700.0,100.4831
1269,,MSFT,2019-01-23,103.7353,104.6553,102.9553,104.3253,25874300.0,104.3253
1270,,MSFT,2018-06-14,98.5785,98.9585,97.9285,98.3485,25691800.0,98.3485
1271,,MSFT,2018-04-11,88.8436,90.1236,88.3136,88.6936,24872100.0,88.6936
1272,,MSFT,2018-03-02,88.3726,89.9426,87.6526,89.8426,32830400.0,89.8426
1273,,MSFT,2017-09-26,70.4622,70.6022,69.7822,70.0522,18019600.0,70.0522
1274,,MSFT,2017-08-10,68.4113,68.7013,67.8613,67.9213,24734500.0,67.9213
1275,,MSFT,2016-12-22,60.0287,60.2887,59.5987,59.7387,22176600.0,59.7387
1276,,MSFT,2016-05-03,46.4318,46.5018,45.6918,45.8718,26460200.0,45.8718
1277,,MSFT,2016-04-29,45.4347,46.3347,45.4347,45.9547,48411700.0,45.9547
1278,,MSFT,2015-09-09,40.2818,40.4718,38.9818,39.1418,33469500.0,39.1418
1279,,MSFT,2015-08-13,42.5198,42.5598,41.9498,42.1898,22627200.0,42.1898
1280,,MSFT,2015-07-29,40.9025,42.2825,40.7625,41.7925,40945900.0,41.7925
1281,,MSFT,2015-05-19,42.9372,43.1872,42.5572,42.9572,28574800.0,42.9572
1282,,MSFT,2014-12-23,43.0731,43.5031,42.8331,43.1531,23648100.0,43.1531
1283,,MSFT,2014-11-05,42.3005,42.4005,41.7605,42.3605,22449600.0,42.3605
1284,,MSFT,2014-06-19,36.5721,36.7721,36.3321,36.5121,19828200.0,36.5121
1285,,MSFT,2014-04-29,35.9729,36.0629,35.2629,35.3829,29636200.0,35.3829
1286,,MSFT,2013-07-30,27.1423,27.4823,26.9123,27.2123,45799500.0,27.2123
1287,,MSFT,2013-04-30,27.5433,28.0933,27.2633,28.0833,75165200.0,28.0833
1288,,MSFT,2012-11-28,22.6727,23.0527,22.4327,23.0227,53018400.0,23.0227
1289,,MSFT,2012-11-05,24.7196,24.8396,24.4296,24.7296,38070800.0,24.7296
1290,,MSFT,2012-10-26,23.1945,23.6745,23.1745,23.5445,57790000.0,23.5445
1291,,MSFT,2012-09-24,25.9094,25.9794,25.5494,25.6894,46825900.0,25.6894
1292,,MSFT,2012-08-21,25.6661,25.8661,25.5161,25.7061,28822700.0,25.7061
1293,,MSFT,2012-08-14,25.3169,25.4069,25.0269,25.1469,34551400.0,25.1469
1294,,MSFT,2012-02-27,25.7135,25.9735,25.5735,25.8235,34568400.0,25.8235
1295,,MSFT,2011-12-08,20.8656,21.1056,20.7556,20.7856,60522200.0,20.7856
1296,,MSFT,2011-06-28,20.3237,20.9437,20.1837,20.8237,81032100.0,20.8237
1297,,MSFT,2011-01-27,22.8938,23.6038,22.6338,23.0138,146938600.0,23.0138
1298,,MSFT,2010-11-30,19.926,20.346,19.876,20.136,75282100.0,20.136
1299,,MSFT,2010-03-18,23.2502,23.3402,23.1202,23.2302,43845200.0,23.2302
1300,,MSFT,2010-01-21,24.0344,24.1444,23.4244,23.4344,73086700.0,23.4344
1301,,MSFT,2009-11-16,23.0359,23.2259,22.7959,22.9659,54129500.0,22.9659
1302,,MSFT,2009-10-13,19.846,20.196,19.776,20.066,37749000.0,20.066
1303,,MSFT,2009-09-15,19.3618,19.6618,19.2518,19.5918,44716600.0,19.5918
1304,,MSFT,2009-01-28,13.5244,14.0344,13.4844,13.7644,64145500.0,13.7644
1305,,MSFT,2008-11-12,15.9746,16.0846,15.3646,15.3846,90162300.0,15.3846
1306,,MSFT,2008-07-30,19.7697,20.0597,19.4697,19.7997,51977700.0,19.7997
1307,,MSFT,2008-03-11,21.1409,22.0809,21.1209,22.0209,98740700.0,22.0209
1308,,MSFT,2008-03-05,20.7785,21.4385,20.7285,21.1485,106489800.0,21.1485
